,code,station_name,line,color,opening,type,blk_no,road_name,building,address,postal,x,y,latitude,longitude,planning_area_ura,region_ura
114,NS8,Marsiling,North-South Line ,Red,10/02/1996,MRT,71,WOODLANDS AVENUE 3,MARSILING MRT STATION (NS8),71 WOODLANDS AVENUE 3 MARSILING MRT STATION (NS8) SINGAPORE 739044,739044,21407.04132,46026.51253,1.432521149,103.7740746,WOODLANDS,NORTH REGION
115,CC16,Marymount,Circle Line,Orange,28/05/2009,MRT,60,MARYMOUNT ROAD,MARYMOUNT MRT STATION (CC16),60 MARYMOUNT ROAD MARYMOUNT MRT STATION (CC16) SINGAPORE 573993,573993,28679.36877,36758.71365,1.348707263,103.8394231,BISHAN,CENTRAL REGION
116,DT25,Mattar,Downtown Line,Blue,21/10/2017,MRT,60,MERPATI ROAD,MATTAR MRT STATION (DT25),60 MERPATI ROAD MATTAR MRT STATION (DT25) SINGAPORE 379314,379314,33556.58344,34344.85853,1.326876715,103.8832475,GEYLANG,CENTRAL REGION
117,TE18,Maxwell,Thomson-East Coast Line,Brown,13/11/2022,MRT,321,SOUTH BRIDGE ROAD,MAXWELL MRT STATION (TE18),321 SOUTH BRIDGE ROAD MAXWELL MRT STATION (TE18) SINGAPORE 058841,058841,29175.80884,29220.38855,1.280533298,103.8438837,OUTRAM,CENTRAL REGION
118,TE6,Mayflower,Thomson-East Coast Line,Brown,28/08/2021,MRT,91,ANG MO KIO AVENUE 4,MAYFLOWER MRT STATION (TE6),91 ANG MO KIO AVENUE 4 MAYFLOWER MRT STATION (TE6) SINGAPORE 569900,569900,28361.59505,39274.94719,1.371463188,103.8365678,ANG MO KIO,NORTH-EAST REGION
119,PE2,Meridian,Punggol LRT,Grey,29/01/2005,LRT,60,PUNGGOL FIELD,MERIDIAN LRT STATION (PE2),60 PUNGGOL FIELD MERIDIAN LRT STATION (PE2) SINGAPORE 828857,828857,36416.79334,42089.08825,1.39691205,103.9089502,PUNGGOL,NORTH-EAST REGION
120,CC7,Mountbatten,Circle Line,Orange,17/04/2010,MRT,301,MOUNTBATTEN ROAD,MOUNTBATTEN MRT STATION (CC7),301 MOUNTBATTEN ROAD MOUNTBATTEN MRT STATION (CC7) SINGAPORE 398006,398006,33476.56343,32058.74185,1.306201905,103.8825281,GEYLANG,CENTRAL REGION
121,TE12,Napier,Thomson-East Coast Line,Brown,13/11/2022,MRT,2,NAPIER ROAD,NAPIER MRT STATION (TE12),2 NAPIER ROAD NAPIER MRT STATION (TE12) SINGAPORE 258511,258511,26401.66671,32122.86257,1.306782234,103.8189568,TANGLIN,CENTRAL REGION
122,NS21,Newton,North-South Line ,Red,12/12/1987,MRT,49,SCOTTS ROAD,NEWTON MRT STATION (NS21),49 SCOTTS ROAD NEWTON MRT STATION (NS21) SINGAPORE 228234,228234,28519.28307,32735.07704,1.312318922,103.8379846,NEWTON,CENTRAL REGION
123,DT11,Newton,Downtown Line,Blue,27/12/2015,MRT,235,BUKIT TIMAH ROAD,NEWTON MRT STATION (DT11),235 BUKIT TIMAH ROAD NEWTON MRT STATION (DT11) SINGAPORE 229901,229901,28489.23644,32920.17269,1.313992863,103.8377146,NEWTON,CENTRAL REGION
124,PW5,Nibong,Punggol LRT,Grey,29/06/2014,LRT,41,PUNGGOL WAY,NIBONG LRT STATION (PW5),41 PUNGGOL WAY NIBONG LRT STATION (PW5) SINGAPORE 828862,828862,35458.4814,43741.31838,1.411854477,103.9003395,PUNGGOL,NORTH-EAST REGION
