YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2023-09,WEEKENDS/HOLIDAY,18,TRAIN,PW1,1682,1377
2023-09,WEEKDAY,18,TRAIN,PW1,3353,2893
2023-09,WEEKENDS/HOLIDAY,9,TRAIN,BP3,2845,795
2023-09,WEEKDAY,9,TRAIN,BP3,6213,1697
2023-09,WEEKDAY,16,TRAIN,NS8,18057,17626
2023-09,WEEKENDS/HOLIDAY,16,TRAIN,NS8,8639,8633
2023-09,WEEKDAY,16,TRAIN,CC8,11338,8628
2023-09,WEEKENDS/HOLIDAY,16,TRAIN,CC8,5028,5025
2023-09,WEEKDAY,9,TRAIN,NE16/STC,59362,21277
2023-09,WEEKENDS/HOLIDAY,9,TRAIN,NE16/STC,23311,11706
2023-09,WEEKENDS/HOLIDAY,15,TRAIN,PW5,1736,1716
2023-09,WEEKDAY,15,TRAIN,PW5,1960,2315
2023-09,WEEKDAY,7,TRAIN,EW28,121646,37340
2023-09,WEEKENDS/HOLIDAY,7,TRAIN,EW28,17511,7587
2023-09,WEEKDAY,6,TRAIN,EW18,17107,12806
2023-09,WEEKENDS/HOLIDAY,6,TRAIN,EW18,3183,2683
2023-09,WEEKENDS/HOLIDAY,20,TRAIN,PE7,989,3088
2023-09,WEEKDAY,20,TRAIN,PE7,2820,7016
2023-09,WEEKDAY,14,TRAIN,EW6,7646,10126
2023-09,WEEKENDS/HOLIDAY,14,TRAIN,EW6,5368,6102
2023-09,WEEKENDS/HOLIDAY,17,TRAIN,DT29,3657,3751
2023-09,WEEKDAY,17,TRAIN,DT29,11362,13229
2023-09,WEEKENDS/HOLIDAY,14,TRAIN,BP8,780,695
2023-09,WEEKDAY,14,TRAIN,BP8,1280,1272
2023-09,WEEKENDS/HOLIDAY,7,TRAIN,DT8,697,1106
2023-09,WEEKDAY,7,TRAIN,DT8,7013,23511
2023-09,WEEKDAY,22,TRAIN,DT20,6144,4089
2023-09,WEEKENDS/HOLIDAY,22,TRAIN,DT20,2910,2150
2023-09,WEEKENDS/HOLIDAY,12,TRAIN,CC16,4587,2514
2023-09,WEEKDAY,12,TRAIN,CC16,7640,5519
2023-09,WEEKDAY,18,TRAIN,PE4,2014,3738
2023-09,WEEKENDS/HOLIDAY,18,TRAIN,PE4,1078,1513
2023-09,WEEKENDS/HOLIDAY,18,TRAIN,PE1,1808,2417
2023-09,WEEKDAY,18,TRAIN,PE1,4184,8733
2023-09,WEEKENDS/HOLIDAY,17,TRAIN,NS10,20898,20750
2023-09,WEEKDAY,17,TRAIN,NS10,62084,62866
2023-09,WEEKENDS/HOLIDAY,14,TRAIN,PE2,2706,2958
2023-09,WEEKDAY,14,TRAIN,PE2,5252,5326
2023-09,WEEKENDS/HOLIDAY,14,TRAIN,DT28,4736,3597
2023-09,WEEKDAY,14,TRAIN,DT28,6282,7063
2023-09,WEEKENDS/HOLIDAY,21,TRAIN,TE7,902,2288
2023-09,WEEKDAY,21,TRAIN,TE7,2263,5661
2023-09,WEEKENDS/HOLIDAY,6,TRAIN,SW8,500,235
2023-09,WEEKDAY,6,TRAIN,SW8,3338,1674
2023-09,WEEKDAY,19,TRAIN,NE9,35090,36285
2023-09,WEEKENDS/HOLIDAY,19,TRAIN,NE9,11159,11753
2023-09,WEEKDAY,12,TRAIN,CC25,6084,4214
2023-09,WEEKENDS/HOLIDAY,12,TRAIN,CC25,4059,2324
2023-09,WEEKENDS/HOLIDAY,12,TRAIN,NS16,25140,20245
2023-09,WEEKDAY,12,TRAIN,NS16,36798,32800
2023-09,WEEKENDS/HOLIDAY,6,TRAIN,EW24/NS1,8276,15218
2023-09,WEEKDAY,6,TRAIN,EW24/NS1,32085,77067
2023-09,WEEKENDS/HOLIDAY,10,TRAIN,CC11,3506,8246
2023-09,WEEKDAY,10,TRAIN,CC11,6183,20164
2023-09,WEEKENDS/HOLIDAY,18,TRAIN,NS27/CE2/TE20,2467,3766
2023-09,WEEKDAY,18,TRAIN,NS27/CE2/TE20,36846,5648
2023-09,WEEKENDS/HOLIDAY,12,TRAIN,DT33,9677,4751
2023-09,WEEKDAY,12,TRAIN,DT33,14064,7291
2023-09,WEEKDAY,22,TRAIN,EW4,4453,17309
2023-09,WEEKENDS/HOLIDAY,22,TRAIN,EW4,2637,8720
2023-09,WEEKENDS/HOLIDAY,5,TRAIN,DT24,216,7
2023-09,WEEKDAY,5,TRAIN,DT24,1547,12
2023-09,WEEKDAY,14,TRAIN,NE1/CC29,39124,43834
2023-09,WEEKENDS/HOLIDAY,14,TRAIN,NE1/CC29,28437,40313
2023-09,WEEKENDS/HOLIDAY,8,TRAIN,SW5,3692,2298
2023-09,WEEKDAY,8,TRAIN,SW5,18084,4459
2023-09,WEEKENDS/HOLIDAY,23,TRAIN,CC24,555,900
2023-09,WEEKDAY,23,TRAIN,CC24,2857,1383
2023-09,WEEKDAY,23,TRAIN,CC11,3868,3009
2023-09,WEEKENDS/HOLIDAY,23,TRAIN,CC11,1468,1835
2023-09,WEEKENDS/HOLIDAY,17,TRAIN,TE6,5027,5281
2023-09,WEEKDAY,17,TRAIN,TE6,8615,15307
2023-09,WEEKENDS/HOLIDAY,14,TRAIN,CC26,1180,1471
2023-09,WEEKDAY,14,TRAIN,CC26,2519,3244
2023-09,WEEKENDS/HOLIDAY,22,TRAIN,TE16,2283,3098
2023-09,WEEKDAY,22,TRAIN,TE16,3978,6174
2023-09,WEEKDAY,8,TRAIN,NS4/BP1,79891,33046
2023-09,WEEKENDS/HOLIDAY,8,TRAIN,NS4/BP1,16595,11119
2023-09,WEEKENDS/HOLIDAY,20,TRAIN,NS12,4947,9325
2023-09,WEEKDAY,20,TRAIN,NS12,9853,22695
2023-09,WEEKENDS/HOLIDAY,15,TRAIN,TE3,3589,3049
2023-09,WEEKDAY,15,TRAIN,TE3,6802,5469
2023-09,WEEKENDS/HOLIDAY,19,TRAIN,PE4,1043,1440
2023-09,WEEKDAY,19,TRAIN,PE4,1459,3980
2023-09,WEEKDAY,9,TRAIN,DT18,4503,81689
2023-09,WEEKENDS/HOLIDAY,9,TRAIN,DT18,1008,4108
